"type","address","amount","date","time"
"BOND","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",2000,"2018-07-31T13:17:50.000Z",1533043070
"BOND","0x975b089591d7c14caf817ce293bdc62f2ca4877d",1812.2948984229663,"2018-07-31T18:35:53.000Z",1533062153
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",93.3770848937541,"2018-07-31T21:44:41.000Z",1533073481
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",4410.173690745636,"2018-07-31T22:34:06.000Z",1533076446
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",132.33144699918017,"2018-08-01T21:48:00.000Z",1533160080
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",3330.854742135084,"2018-08-02T19:11:56.000Z",1533237116
"BOND","0x14cdafecda81108df85b0812e559894b990ce210",14285.71,"2018-08-02T21:25:32.000Z",1533245132
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",155.73161322574424,"2018-08-02T21:40:48.000Z",1533246048
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",265.60022151122837,"2018-08-04T01:46:04.000Z",1533347164
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",267.7163738228543,"2018-08-04T19:14:49.000Z",1533410089
"BOND","0xc95f7d13e60bc7b916c3925dd74edc0be2189a7a",7.9073451329082225,"2018-08-04T20:44:05.000Z",1533415445
"MOVE_BOND","0x4b74758433ee4c96122be1cad8a1fae196c3d903",-2.4416961661170924,"2018-08-05T01:27:53.000Z",1533432473
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",268.4971746659849,"2018-08-05T18:15:03.000Z",1533492903
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",268.59581189055046,"2018-08-06T17:44:51.000Z",1533577491
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",270.4430325717888,"2018-08-07T17:14:46.000Z",1533662086
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",271.8327142969831,"2018-08-08T17:45:14.000Z",1533750314
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",272.2649343239174,"2018-08-10T03:15:58.000Z",1533870958
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",274.27614346372667,"2018-08-10T16:15:39.000Z",1533917739
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",3764.625620941568,"2018-08-10T18:32:55.000Z",1533925975
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",302.4779441052401,"2018-08-11T15:44:45.000Z",1534002285
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",304.1319865663986,"2018-08-12T14:17:03.000Z",1534083423
"BOND","0xe27f4b72a3b54de12d3738172f332bbbc3d7f006",569,"2018-08-12T19:44:30.000Z",1534103070
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",341.23922141579783,"2018-08-13T13:45:08.000Z",1534167908
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",1190.0882214125172,"2018-08-14T12:10:32.000Z",1534248632
